,red_fighter,blue_fighter,red_kd,blue_kd,red_ss_pct,blue_ss_pct,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl_time,blue_ctrl_time,result,method,round,time,event_title,weight_class,red_ss_att,red_ss_landed,blue_ss_att,blue_ss_landed,red_ts_att,red_ts_landed,blue_ts_att,blue_ts_landed,red_td_att,red_td_landed,blue_td_att,blue_td_landed,red_head_att,red_head_landed,blue_head_att,blue_head_landed,red_body_att,red_body_landed,blue_body_att,blue_body_landed,red_leg_att,red_leg_landed,blue_leg_att,blue_leg_landed,red_dist_att,red_dist_landed,blue_dist_att,blue_dist_landed,red_clinch_att,red_clinch_landed,blue_clinch_att,blue_clinch_landed,red_grnd_att,red_grnd_landed,blue_grnd_att,blue_grnd_landed,fight_time,title_bout,date,location
0,Jack Hermansson,Sean Strickland,0,0,0.38,0.46,0.0,0.0,0,0,0,0,31,0,Sean Strickland,Decision,5,300,UFC Fight Night,Middleweight ,353,137,330,153,353,137,338,161,8,0,0,0,194,22,286,125,105,64,40,24,54,51,4,4,350,134,328,151,3,3,2,2,0,0,0,0,1500,0,05-2022-02,"Las Vegas, Nevada, USA"
1,Punahele Soriano,Nick Maximov,0,0,0.71,0.64,0.0,0.68,0,1,0,1,97,525,Nick Maximov,Decision,3,300,UFC Fight Night,Middleweight ,63,45,45,29,93,74,82,60,0,0,16,11,46,28,33,19,17,17,8,6,0,0,4,4,38,20,31,15,2,2,10,10,23,23,4,4,900,0,05-2022-02,"Las Vegas, Nevada, USA"
2,Shavkat Rakhmonov,Carlston Harris,1,0,0.46,0.37,0.33,0.0,0,0,0,0,52,44,Shavkat Rakhmonov, KO/TKO ,1,250,UFC Fight Night,Welterweight ,28,13,27,10,31,16,35,15,3,1,0,0,25,10,13,3,3,3,10,6,0,0,4,1,20,9,25,8,0,0,2,2,8,4,0,0,250,0,05-2022-02,"Las Vegas, Nevada, USA"
3,Sam Alvey,Brendan Allen,0,1,0.42,0.66,0.0,0.0,0,1,0,0,7,44,Brendan Allen, Submission ,2,130,UFC Fight Night,Light Heavyweight ,57,24,54,36,57,24,54,36,0,0,1,0,52,20,32,15,3,2,15,14,2,2,7,7,56,24,47,32,1,0,3,2,0,0,4,2,430,0,05-2022-02,"Las Vegas, Nevada, USA"
4,Tresean Gore,Bryan Battle,0,0,0.6,0.58,0.66,0.12,1,0,0,0,76,200,Bryan Battle,Decision,3,300,UFC Fight Night,Middleweight ,95,57,193,112,126,86,203,119,3,2,8,1,67,31,117,49,17,15,59,46,11,11,17,17,79,42,185,105,12,11,8,7,4,4,0,0,900,0,05-2022-02,"Las Vegas, Nevada, USA"
5,Julian Erosa,Steven Peterson,0,0,0.53,0.59,0.6,0.0,0,2,0,0,112,44,Julian Erosa,Decision,3,300,UFC Fight Night,Featherweight ,291,155,247,148,300,163,276,174,5,3,2,0,242,120,204,113,43,30,17,15,6,5,26,20,270,141,227,133,16,9,19,15,5,5,1,0,900,0,05-2022-02,"Las Vegas, Nevada, USA"
6,Miles Johns,John Castaneda,0,1,0.4,0.39,0.0,0.0,0,1,0,0,0,105,John Castaneda, Submission ,3,98,UFC Fight Night,Bantamweight ,85,34,147,58,85,34,159,68,1,0,1,0,76,27,113,40,8,6,11,6,1,1,23,12,83,33,129,47,2,1,11,7,0,0,7,4,698,0,05-2022-02,"Las Vegas, Nevada, USA"
7,Hakeem Dawodu,Michael Trizano,0,0,0.65,0.52,0.0,1.0,0,0,0,0,226,33,Hakeem Dawodu,Decision,3,300,UFC Fight Night,Featherweight ,214,141,133,70,266,189,158,94,0,0,1,1,121,60,94,36,62,52,29,25,31,29,10,9,195,123,110,54,19,18,23,16,0,0,0,0,900,0,05-2022-02,"Las Vegas, Nevada, USA"
8,Chidi Njokuani,Marc-Andre Barriault,1,0,1.0,1.0,0.0,0.0,0,0,0,0,4,0,Chidi Njokuani, KO/TKO ,1,16,UFC Fight Night,Middleweight ,11,11,2,2,13,13,2,2,0,0,0,0,9,9,1,1,1,1,0,0,1,1,1,1,4,4,2,2,0,0,0,0,7,7,0,0,16,0,05-2022-02,"Las Vegas, Nevada, USA"
9,Alexis Davis,Julija Stoliarenko,0,0,0.7,0.49,1.0,0.0,0,3,0,0,549,0,Alexis Davis,Decision,3,300,UFC Fight Night,Women's Bantamweight ,120,85,113,56,218,171,154,93,1,1,0,0,86,55,94,40,12,9,17,14,22,21,2,2,64,41,108,51,1,1,1,1,55,43,4,4,900,0,05-2022-02,"Las Vegas, Nevada, USA"
