,event_title,date,location
0,UFC Fight Night: Walker vs. Hill,19-2022-02,"Las Vegas, Nevada, USA"
1,UFC 271: Adesanya vs. Whittaker 2,12-2022-02,"Houston, Texas, USA"
2,UFC Fight Night: Hermansson vs. Strickland,05-2022-02,"Las Vegas, Nevada, USA"
3,UFC 270: Ngannou vs. Gane,22-2022-01,"Anaheim, California, USA"
4,UFC Fight Night: Kattar vs. Chikadze,15-2022-01,"Las Vegas, Nevada, USA"
5,UFC Fight Night: Lewis vs. Daukaus,18-2021-12,"Las Vegas, Nevada, USA"
6,UFC 269: Oliveira vs. Poirier,11-2021-12,"Las Vegas, Nevada, USA"
7,UFC Fight Night: Font vs. Aldo,04-2021-12,"Las Vegas, Nevada, USA"
8,UFC Fight Night: Vieira vs. Tate,20-2021-11,"Las Vegas, Nevada, USA"
9,UFC Fight Night: Holloway vs. Rodriguez,13-2021-11,"Las Vegas, Nevada, USA"
10,UFC 268: Usman vs. Covington 2,06-2021-11,"New York City, New York, USA"
11,UFC 267: Blachowicz vs. Teixeira,30-2021-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
12,UFC Fight Night: Costa vs. Vettori,23-2021-10,"Las Vegas, Nevada, USA"
13,UFC Fight Night: Ladd vs. Dumont,16-2021-10,"Las Vegas, Nevada, USA"
14,UFC Fight Night: Dern vs. Rodriguez,09-2021-10,"Las Vegas, Nevada, USA"
15,UFC Fight Night: Santos vs. Walker,02-2021-10,"Las Vegas, Nevada, USA"
16,UFC 266: Volkanovski vs. Ortega,25-2021-09,"Las Vegas, Nevada, USA"
17,UFC Fight Night: Smith vs. Spann,18-2021-09,"Las Vegas, Nevada, USA"
18,UFC Fight Night: Brunson vs. Till,04-2021-09,"Las Vegas, Nevada, USA"
19,UFC Fight Night: Barboza vs. Chikadze,28-2021-08,"Las Vegas, Nevada, USA"
20,UFC Fight Night: Cannonier vs. Gastelum,21-2021-08,"Las Vegas, Nevada, USA"
21,UFC 265: Lewis vs. Gane,07-2021-08,"Houston, Texas, USA"
22,UFC Fight Night: Hall vs. Strickland,31-2021-07,"Las Vegas, Nevada, USA"
23,UFC Fight Night: Sandhagen vs. Dillashaw,24-2021-07,"Las Vegas, Nevada, USA"
24,UFC Fight Night: Makhachev vs. Moises,17-2021-07,"Las Vegas, Nevada, USA"
25,UFC 264: Poirier vs. McGregor 3,10-2021-07,"Las Vegas, Nevada, USA"
26,UFC Fight Night: Gane vs. Volkov,26-2021-06,"Las Vegas, Nevada, USA"
27,UFC Fight Night: Jung vs. Ige,19-2021-06,"Las Vegas, Nevada, USA"
28,UFC 263: Adesanya vs. Vettori 2,12-2021-06,"Glendale, Arizona, USA"
29,UFC Fight Night: Rozenstruik vs. Sakai,05-2021-06,"Las Vegas, Nevada, USA"
30,UFC Fight Night: Font vs. Garbrandt,22-2021-05,"Las Vegas, Nevada, USA"
31,UFC 262: Oliveira vs. Chandler,15-2021-05,"Houston, Texas, USA"
32,UFC Fight Night: Rodriguez vs. Waterson,08-2021-05,"Las Vegas, Nevada, USA"
33,UFC Fight Night: Reyes vs. Prochazka,01-2021-05,"Las Vegas, Nevada, USA"
34,UFC 261: Usman vs. Masvidal 2,24-2021-04,"Jacksonville, Florida, USA"
35,UFC Fight Night: Whittaker vs. Gastelum,17-2021-04,"Las Vegas, Nevada, USA"
36,UFC Fight Night: Vettori vs. Holland,10-2021-04,"Las Vegas, Nevada, USA"
37,UFC 260: Miocic vs. Ngannou,27-2021-03,"Las Vegas, Nevada, USA"
38,UFC Fight Night: Brunson vs. Holland,20-2021-03,"Las Vegas, Nevada, USA"
39,UFC Fight Night: Edwards vs. Muhammad,13-2021-03,"Las Vegas, Nevada, USA"
40,UFC 259: Blachowicz vs. Adesanya,06-2021-03,"Las Vegas, Nevada, USA"
41,UFC Fight Night: Rozenstruik vs. Gane,27-2021-02,"Las Vegas, Nevada, USA"
42,UFC Fight Night: Blaydes vs. Lewis,20-2021-02,"Las Vegas, Nevada, USA"
43,UFC 258: Usman vs. Burns,13-2021-02,"Las Vegas, Nevada, USA"
44,UFC Fight Night: Overeem vs. Volkov,06-2021-02,"Las Vegas, Nevada, USA"
45,UFC 257: Poirier vs. McGregor,23-2021-01,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
46,UFC Fight Night: Chiesa vs. Magny,20-2021-01,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
47,UFC Fight Night: Holloway vs. Kattar,16-2021-01,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
48,UFC Fight Night: Thompson vs. Neal,19-2020-12,"Las Vegas, Nevada, USA"
49,UFC 256: Figueiredo vs. Moreno,12-2020-12,"Las Vegas, Nevada, USA"
50,UFC Fight Night: Hermansson vs. Vettori,05-2020-12,"Las Vegas, Nevada, USA"
51,UFC Fight Night: Smith vs. Clark,28-2020-11,"Las Vegas, Nevada, USA"
52,UFC 255: Figueiredo vs. Perez,21-2020-11,"Las Vegas, Nevada, USA"
53,UFC Fight Night: Felder vs. Dos Anjos,14-2020-11,"Las Vegas, Nevada, USA"
54,UFC Fight Night: Santos vs. Teixeira,07-2020-11,"Las Vegas, Nevada, USA"
55,UFC Fight Night: Hall vs. Silva,31-2020-10,"Las Vegas, Nevada, USA"
56,UFC 254: Khabib vs. Gaethje,24-2020-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
57,UFC Fight Night: Ortega vs. The Korean Zombie,17-2020-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
58,UFC Fight Night: Moraes vs. Sandhagen,10-2020-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
59,UFC Fight Night: Holm vs. Aldana,03-2020-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
60,UFC 253: Adesanya vs. Costa,26-2020-09,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
61,UFC Fight Night: Covington vs. Woodley,19-2020-09,"Las Vegas, Nevada, USA"
62,UFC Fight Night: Waterson vs. Hill,12-2020-09,"Las Vegas, Nevada, USA"
